,reg_me,reg_rna
BSU00090,-1.0,-1
BSU00130,-1.0,-1
BSU00150,-1.0,-1
BSU00380,-1.0,-1
BSU00500,-1.0,-1
BSU00510,-1.0,-1
BSU00740,-1.0,-1
BSU00750,-1.0,-1
BSU00760,-1.0,-1
BSU00770,-1.0,-1
BSU00780,-1.0,-1
BSU00790,-1.0,-1
BSU00820,-1.0,-1
BSU01000,1.0,-1
BSU01010,-1.0,-1
BSU01030,-1.0,-1
BSU01040,-1.0,-1
BSU01050,-1.0,-1
BSU01130,-1.0,-1
BSU01150,-1.0,-1
BSU01160,-1.0,-1
BSU01210,-1.0,-1
BSU01220,-1.0,-1
BSU01230,-1.0,-1
BSU01240,-1.0,-1
BSU01250,-1.0,-1
BSU01260,-1.0,-1
BSU01270,-1.0,-1
BSU01280,-1.0,-1
BSU01290,-1.0,-1
BSU01300,-1.0,-1
BSU01310,-1.0,-1
BSU01320,-1.0,-1
BSU01330,-1.0,-1
BSU01340,-1.0,-1
BSU01350,-1.0,-1
BSU01360,1.0,-1
BSU01370,-1.0,-1
BSU01380,-1.0,-1
BSU01390,-1.0,-1
BSU01400,-1.0,-1
BSU01410,-1.0,-1
BSU01420,-1.0,-1
BSU01430,1.0,-1
BSU01440,-1.0,-1
BSU01490,-1.0,-1
BSU01500,-1.0,-1
BSU01770,-1.0,-1
BSU01780,-1.0,-1
BSU02230,-1.0,-1
BSU02270,-1.0,-1
BSU02290,-1.0,-1
BSU03150,-1.0,-1
BSU04030,-1.0,-1
BSU04570,-1.0,-1
BSU04640,-1.0,-1
BSU06020,-1.0,-1
BSU06030,-1.0,-1
BSU06360,-1.0,-1
BSU06430,-1.0,-1
BSU06440,-1.0,-1
BSU06450,-1.0,-1
BSU06470,-1.0,-1
BSU06490,-1.0,-1
BSU06500,-1.0,-1
BSU06510,-1.0,-1
BSU06520,-1.0,-1
BSU06530,-1.0,-1
BSU06670,-1.0,-1
BSU06680,-1.0,-1
BSU06690,-1.0,-1
BSU06730,-1.0,-1
BSU07610,-1.0,-1
BSU07840,-1.0,-1
BSU09280,-1.0,-1
BSU09540,-1.0,-1
BSU10020,-1.0,-1
BSU10360,-1.0,-1
BSU10790,-1.0,-1
BSU11010,-1.0,-1
BSU11190,-1.0,-1
BSU11200,-1.0,-1
BSU11210,-1.0,-1
BSU11220,-1.0,-1
BSU11250,-1.0,-1
BSU11420,-1.0,-1
BSU11670,-1.0,-1
BSU11720,-1.0,-1
BSU11870,1.0,-1
BSU12840,1.0,-1
BSU13130,-1.0,-1
BSU13180,-1.0,-1
BSU13890,-1.0,-1
BSU13900,-1.0,-1
