,name,FS_flux,FS_essential,MC_flux,MC_essential
BSU00090,guaB,0.0,False,3.0631270634387206e-09,False
BSU00110,pdxS,0.0,False,0.0,False
BSU00120,pdxT,0.0,False,0.0,False
BSU00130,serS,1.236748945866661e-10,True,4.728097543585196e-10,True
BSU00140,dck,0.0,False,0.0,False
BSU00150,dgk,0.0,False,0.0,False
BSU00180,tadA,0.0,False,0.0,False
BSU00270,yaaO,0.0,False,0.0,False
BSU00280,tmk,6.519911443658479e-11,True,2.813101900856557e-10,False
BSU00380,metS,3.7486451574644243e-11,True,2.2413095232987313e-10,True
BSU00410,rnmV,0.0,False,0.0,False
BSU00460,ispE,0.0,False,0.0,False
BSU00500,glmU,3.699748300882141e-08,True,7.471232737754582e-09,True
BSU00510,prs,3.0793980860041517e-18,False,1.4839092093942276e-08,False
BSU00550,mfd,8.448703720968704e-13,True,3.249487686190055e-12,True
BSU00680,hprT,0.0,False,0.0,False
BSU00730,cysK,0.0,False,0.0,False
BSU00740,pabB,0.0,False,9.235656131731568e-13,False
BSU00750,pabA,0.0,False,1.014065630098084e-10,True
BSU00760,pabC,0.0,False,4.67529886415382e-13,False
BSU00770,folP,0.0,False,5.895882691963764e-13,False
BSU00780,folB,0.0,False,1.5539434670286342e-12,False
BSU00790,folK,0.0,False,7.142574837092017e-13,False
BSU00810,dusB,0.0,False,0.0,False
BSU00820,lysS,1.4086477295721796e-10,True,6.374564985369241e-10,True
BSU00900,ispD,0.0,False,0.0,False
BSU00910,ispF,0.0,False,0.0,False
BSU00930,cysE,0.0,False,0.0,False
BSU00940,cysS,7.241727556688599e-12,True,4.022395148592319e-11,True
BSU00980,sigH,4.589393404481402e-13,False,5.596851014266905e-11,False
BSU00990,rpmGB,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01000,secE,1.9466960590636855e-09,True,1.012006652793755e-08,True
BSU01010,nusG,8.448703720968704e-13,True,3.249487686190055e-12,True
BSU01020,rplK,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01030,rplA,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01040,rplJ,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01050,rplL,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01070,rpoB,1.6199115011328813e-08,True,1.387941910643002e-07,True
BSU01080,rpoC,1.6199115011328813e-08,True,1.387941910643002e-07,True
BSU01100,rpsL,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01110,rpsG,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01120,fusA,1.6082054973004328e-09,True,7.738951897442626e-09,True
BSU01130,tufA,1.6082054947675501e-09,True,7.738951884047966e-09,True
BSU01150,rpsJ,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01160,rplC,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01170,rplD,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01180,rplW,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01190,rplB,1.2354197210654974e-07,True,5.94749720171868e-07,True
