,name,FS_flux,FS_essential,MC_flux,MC_essential
BSU00130,serS,1.236748945866661e-10,True,4.728097543585196e-10,True
BSU00280,tmk,6.519911443658479e-11,True,2.813101900856557e-10,False
BSU00380,metS,3.7486451574644243e-11,True,2.2413095232987313e-10,True
BSU00500,glmU,3.699748300882141e-08,True,7.471232737754582e-09,True
BSU00550,mfd,8.448703720968704e-13,True,3.249487686190055e-12,True
BSU00820,lysS,1.4086477295721796e-10,True,6.374564985369241e-10,True
BSU00940,cysS,7.241727556688599e-12,True,4.022395148592319e-11,True
BSU00980,sigH,4.589393404481402e-13,False,5.596851014266905e-11,False
BSU00990,rpmGB,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01000,secE,1.9466960590636855e-09,True,1.012006652793755e-08,True
BSU01010,nusG,8.448703720968704e-13,True,3.249487686190055e-12,True
BSU01020,rplK,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01030,rplA,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01040,rplJ,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01050,rplL,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01070,rpoB,1.6199115011328813e-08,True,1.387941910643002e-07,True
BSU01080,rpoC,1.6199115011328813e-08,True,1.387941910643002e-07,True
BSU01100,rpsL,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01110,rpsG,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01120,fusA,1.6082054973004328e-09,True,7.738951897442626e-09,True
BSU01130,tufA,1.6082054947675501e-09,True,7.738951884047966e-09,True
BSU01150,rpsJ,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01160,rplC,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01170,rplD,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01180,rplW,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01190,rplB,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01200,rpsS,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01210,rplV,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01220,rpsC,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01230,rplP,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01240,rpmC,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01250,rpsQ,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01260,rplNA,1.2354197210654974e-07,True,5.94749720171868e-07,True
BSU01270,rplX,1.2354197210654974e-07,True,5.94749720171868e-07,True
